Index,Task,EDD_Lmax,EDD_time,ERD_Lmax,ERD_time,Schrage_Lmax,Schrage_time,PreemptSchrage_Lmax,PreemptSchrage_time,Construction_Lmax,Construction_time,Carlier_Lmax,Carlier_time,LB,is_opt_EDD,avgE_EDD,avgE_ERD,avgE_Schrage,avgE_Construction,avgE_Carlier
73,data/100_Independent0073,3778,0.005047000000000000,3778,0.004674,3778,0.006183,3778,0.010979,3778,0.62043,3778,0.01808300000000000,3778,1,0.00%,0.00%,0.00%,0.00%,0.00%
74,data/100_Independent0074,3458,0.004640000000000000,3458,0.004838,3458,0.006127,3458,0.011402,3458,0.64580,3458,0.018921,3458,1,0.00%,0.00%,0.00%,0.00%,0.00%
75,data/100_Independent0075,3888,0.005067000000000000,3888,0.004877000000000000,3888,0.006706,3888,0.011286,3888,0.64455,3888,0.01870,3888,1,0.00%,0.00%,0.00%,0.00%,0.00%
76,data/100_Independent0076,3837,0.004749,3837,0.00473,3837,0.00609,3837,0.010841,3837,0.6270890000000000,3837,0.018762,3837,1,0.00%,0.00%,0.00%,0.00%,0.00%
77,data/100_Independent0077,3812,0.005161,3812,0.00450,3812,0.006203,3812,0.01136700000000000,3812,0.63275,3812,0.017569,3812,1,0.00%,0.00%,0.00%,0.00%,0.00%
78,data/100_Independent0078,4021,0.004939,4021,0.004828,4021,0.00608,4021,0.010898,4021,0.61499,4021,0.017807,4021,1,0.00%,0.00%,0.00%,0.00%,0.00%
79,data/100_Independent0079,3687,0.004766,3687,0.004484,3687,0.00607,3687,0.010976,3687,1.08653,3687,0.017435,3687,1,0.00%,0.00%,0.00%,0.00%,0.00%
80,data/100_Independent0080,2631,0.007290000000000000,3665,0.005240,2631,0.008197,2631,0.013145,2631,0.5974,2631,0.02208500000000000,2631,1,0.00%,39.30%,0.00%,0.00%,0.00%
81,data/100_Independent0081,2565,0.00754,3561,0.005297,2565,0.069365,2565,0.013594,2565,0.60479,2565,0.02294900000000000,2565,1,0.00%,38.83%,0.00%,0.00%,0.00%
82,data/100_Independent0082,2667,0.007143,3575,0.00501,2667,0.007993,2667,0.019904,2667,0.61066,2667,0.023424,2667,1,0.00%,34.05%,0.00%,0.00%,0.00%
83,data/100_Independent0083,2410,0.007628,3469,0.006550,2410,0.008364,2410,0.013126,2410,0.59705,2410,0.021049,2410,1,0.00%,43.94%,0.00%,0.00%,0.00%
